GeneID	Control1	Control2	Control3	Control4	KO1	KO2	KO3	KO4
Fech	1607	915	1660	867	1574	1320	1264	1610
Nedd4l	679	506	530	1641	1027	1233	1446	966
Lmnb1	51	222	46	2	14	134	115	80
C330018D20Rik	774	525	912	799	444	429	501	444
Megf10	0	0	0	11	0	0	0	0
Prrc1	447	771	300	379	301	827	470	830
Slc12a2	29	183	216	45	83	186	149	175
Fbn2	0	0	0	0	0	0	11	45
Slc27a6	0	0	0	0	0	0	0	0
Isoc1	1226	1804	1016	709	1133	1203	1023	1364
Dctn4	917	413	432	604	826	652	504	642
Rbm22	333	767	586	452	843	823	641	685
Rps14	62274	46342	45260	41162	47460	56245	45715	57901
Cd74	512	1559	2117	0	1	0	1	0
Tcof1	140	196	147	104	134	235	126	264
Tmx3	654	660	998	755	709	753	801	728
Camk2a	0	7	1	0	0	0	0	0
Cdx1	0	0	0	0	0	0	0	0
Pdgfrb	0	421	0	0	0	0	12	0
Csf1r	35	1	0	26	25	11	0	0
Hmgxb3	204	150	215	198	28	270	361	191
Gnaq	1084	589	752	793	847	907	1207	1189
Psat1	992	1447	538	670	634	671	462	745
Tle4	110	40	159	177	226	392	117	290
Cndp2	1603	703	1749	1076	1091	1413	1267	1626
Timm21	1243	1091	1608	1343	1091	1034	1052	1170
Cyb5a	76209	33576	55489	53618	21985	19974	18667	23002
Cbln2	0	0	0	0	0	0	0	0
Slc22a6	0	0	0	0	0	0	7	0
Scgb1a1	1	0	0	0	15	0	0	0
Asrgl1	92	241	1	8	292	163	398	174
Anxa1	15873	37157	14494	13511	13720	15228	11501	13824
Incenp	58	199	13	48	45	114	103	169
Fth1	98455	169024	79274	70410	39760	37928	33802	44193
Rab3il1	0	181	0	0	0	3	0	0
Fads3	6	308	61	0	50	56	11	54
Fads2	1169	623	994	395	466	601	430	755
Tmem138	186	672	450	83	333	233	331	599
Tmem216	889	1019	676	555	780	952	667	822
Sdhaf2	857	496	840	1012	628	620	712	979
Cd5	0	0	3	0	0	0	0	0
Cd6	0	0	0	0	0	0	0	0
Ms4a7	2	4	0	0	0	0	0	0
Ms4a1	1	2	0	7	1	3	4	2
Ms4a4c	0	0	0	0	0	0	0	0
Ms4a6b	0	5	0	0	0	0	0	0
Ms4a4d	0	674	0	1	0	0	0	0
Ms4a6d	0	0	0	0	2	0	0	0
Ms4a2	0	0	0	0	0	0	0	0
Ms4a3	0	0	0	0	0	0	0	0
Cblif	0	0	0	0	0	0	0	0
Mrpl16	795	593	554	408	320	476	379	387
Osbp	521	424	591	307	726	553	669	457
Fam111a	77	257	5	14	62	168	141	328
Keg1	0	0	0	0	0	0	0	0
Zfp91	678	273	550	248	483	548	654	618
Lpxn	11	0	0	0	72	0	0	1
Gna14	0	0	0	0	0	0	0	37
Rfk	1449	1614	1114	1411	1543	1284	1006	1057
Pcsk5	24	260	99	36	1	14	53	40
Ostf1	1523	1823	1790	1625	1655	1733	1980	1966
Carnmt1	269	207	208	168	185	126	118	197
Trpm6	0	107	0	1	0	0	0	0
1700025F22Rik	0	0	0	0	0	0	0	0
1700017D01Rik	0	0	0	0	1	0	0	0
Ms4a8a	0	0	0	0	0	0	0	0
Ms4a10	0	0	0	29	0	0	0	0
Ccdc86	975	738	828	506	401	626	961	691
Zp1	0	0	0	0	0	0	0	0
Prpf19	180	206	118	68	113	198	321	217
Tmem132a	0	31	9	42	9	3	40	18
Slc15a3	0	0	0	0	19	0	0	1
Pga5	0	0	0	0	0	1	0	0
Ddb1	2087	3503	2462	2176	2032	3706	3023	4250
Fen1	0	6	6	3	0	2	0	2
Syt7	0	0	0	1	0	2	0	0
Aldh1a7	1858	691	1510	1795	2282	2553	2197	3113
Tmc1	0	0	0	0	49	0	1	0
Zfand5	4663	2425	4951	6505	8210	9393	9698	11265
Cemip2	416	386	404	346	332	288	262	191
Slc22a19	2	0	0	0	2	0	2	0
Rtn3	1978	2513	1055	1885	1613	1583	1374	2006
Atl3	322	291	246	229	197	205	174	128
Naa40	0	319	323	301	142	260	111	353
Lipo3	93	109	159	162	126	62	82	145
Otub1	2697	2333	2452	2568	2858	3334	2890	3777
Lipf	0	0	0	0	0	0	0	0
Cdc42bpg	124	38	89	90	86	117	151	170
Lipn	0	0	0	0	0	16	0	0
Lipk	0	107	108	103	2	94	58	90
Ehd1	237	1167	357	168	108	552	269	238
Atg2a	370	199	594	355	123	712	649	627
Ankrd22	1543	1024	1651	2184	1805	1813	2461	1660
Stambpl1	224	234	291	482	275	425	519	715
Ppp2r5b	65	238	2	77	81	76	3	59
Fas	404	571	200	382	305	305	121	304
Cdc37l1	429	282	557	306	336	292	316	274
Lipa	449	697	200	159	125	238	141	323
Ak3	2046	2482	2866	1915	1445	1961	1123	1867
Gpha2	0	136	0	0	0	17	0	0
Rcl1	221	484	603	361	603	521	218	1051
Majin	0	50	0	0	0	0	0	0
Snx15	256	428	454	665	374	743	394	1020
Jak2	685	520	500	718	342	486	533	394
Sac3d1	473	413	304	278	256	336	289	224
Cdca5	0	0	0	0	62	128	0	56
Zfpl1	540	598	729	319	648	837	759	930
Tnfrsf25	0	132	0	1	0	5	33	42
Kif20b	89	196	48	70	95	129	105	163
Vps51	163	404	292	247	371	333	350	369
Htr7	0	1	0	0	0	0	0	0
Tm7sf2	165	67	286	105	43	116	105	47
Rpp30	473	676	541	475	338	209	253	417
Ankrd1	0	305	0	117	0	0	0	0
Pcgf5	304	420	551	371	80	145	147	191
Mlana	0	0	0	0	7	0	6	2
Syvn1	301	244	294	244	298	422	382	688
Il33	704	3351	1465	2715	88	0	0	55
Tnks2	3403	2243	2576	3465	3161	3132	3155	3596
Tjp2	915	611	1197	1020	1224	1412	1278	1349
Trpd52l3	0	0	0	0	0	0	0	0
Frmd8	755	19	332	194	178	66	498	556
Uhrf2	779	918	1049	801	591	808	874	1261
Slc25a45	143	91	138	56	81	144	207	112
Rad9a	20	151	169	218	88	139	186	427
Dpf2	1637	1678	1865	1511	1139	2676	1998	2213
Gldc	575	134	502	221	278	239	259	169
Mrpl21	2383	1396	1651	1486	1736	1606	1347	1906
Rps6kb2	561	224	782	491	254	287	704	423
Ighmbp2	47	28	267	108	49	151	29	109
Pola2	218	458	460	183	140	313	113	293
Coro1b	3287	4341	3669	1693	3495	4341	4046	4536
Dmrt1	0	0	0	0	0	0	0	0
Eif1ad	903	724	921	696	1217	1200	651	1069
Cabp4	0	0	0	0	6	20	20	0
Chka	2145	2349	2433	1942	2079	2842	2663	3017
Banf1	3720	5438	2593	2033	2736	3797	3274	3862
Tmem134	3836	2422	3274	2436	3001	3902	2663	3155
Cst6	76	0	46	59	76	163	54	34
Aip	2604	2655	2058	1646	1656	2316	1559	2233
Pitpnm1	84	443	280	57	267	248	358	385
Sf3b2	2772	2729	3313	2370	3032	3777	3073	4577
Pold4	819	1365	727	466	667	960	1075	1079
Pacs1	726	323	688	137	316	393	503	899
Cdk2ap2	4571	5570	3973	3243	2280	3179	2437	3544
Cabp2	0	0	0	0	0	0	0	0
Grk2	205	505	484	239	157	557	266	526
Klc2	6	5	3	41	2	12	31	14
Mbl2	0	0	0	0	0	0	0	0
Acy3	637	281	263	213	331	617	361	459
Pip5k1b	0	0	0	0	53	69	50	55
Dkk1	0	0	0	0	0	0	0	0
Gm49405	693	596	578	543	372	833	618	878
Rab1b	1783	1291	2435	1612	2167	2497	1720	2841
Doc2g	122	111	118	25	9	103	131	105
Cnih2	49	81	0	6	3	46	10	6
Yif1a	4343	6147	3651	3297	2971	3503	2943	4187
Cbwd1	222	388	718	405	305	367	373	493
Rin1	159	144	474	143	296	83	189	239
Aldh3b1	104	181	275	135	0	0	0	0
Asah2	29	126	67	53	50	58	17	26
Rce1	783	505	1065	637	1119	1089	873	1057
Slc29a2	0	75	17	14	13	0	47	52
Pcx	569	501	817	176	46	85	185	289
Minpp1	149	533	65	87	103	188	323	330
Apba1	0	2	0	0	0	2	0	0
Papss2	0	262	42	34	43	1	2	1
Cpt1a	1923	1187	2638	1630	1993	2946	2929	3500
Peli3	89	0	24	46	0	11	29	26
Mrpl11	1045	662	566	666	1012	807	608	1094
Lao1	0	0	0	0	0	0	0	0
Tesmin	0	0	0	4	54	109	45	58
Mus81	99	567	337	158	111	141	193	217
Gal	0	53	0	0	14	0	0	0
Ppp6r3	909	1204	1287	1113	575	1231	1650	1342
Efemp2	284	5642	237	486	161	298	193	492
Ctsw	0	15	0	0	0	0	0	0
Fibp	1287	1972	934	1260	1152	1066	1417	1648
Fosl1	2142	1056	1392	1589	1947	2743	596	1013
Lrp5	14	15	36	68	7	21	96	52
Drap1	1295	1076	1215	1065	1041	1540	1312	1404
Smarca2	1640	2326	1647	1151	1167	770	745	971
Ovol1	2673	806	1919	1224	3082	5189	2867	3358
Vldlr	297	449	457	242	83	61	46	266
Rnaseh2c	452	538	391	240	132	332	366	366
Kat5	426	175	316	160	185	442	203	126
Rela	529	369	752	627	469	991	613	864
Slc1a1	0	0	0	0	0	0	0	0
Kcnk7	0	0	0	0	7	0	43	0
Ehbp1l1	55	424	153	229	35	116	298	93
Fam89b	3	2	0	3	0	0	1	0
Ltbp3	663	941	509	540	384	462	580	597
Scyl1	111	457	460	74	391	453	412	797
Capn1	356	269	372	342	190	404	218	372
Smc5	537	218	397	339	386	274	497	406
Arl2	2849	1969	2312	2044	1102	1402	1036	1773
Men1	361	551	526	370	150	411	503	518
Map4k2	171	221	272	175	82	117	398	389
Sf1	2078	1150	1747	1698	1855	1892	1927	2008
Rps6ka4	379	459	210	247	235	381	308	340
Prdx5	18035	11730	13558	11918	11812	13149	10317	14635
Esrra	149	64	132	180	65	83	60	148
Kcnk4	107	2	30	14	34	64	38	42
Gpr137	283	177	323	236	84	185	228	331
Bad	1022	1978	1548	839	1514	1579	1860	1912
Plcb3	330	699	576	803	271	526	528	532
Vegfb	822	632	892	439	302	545	415	524
Dnajc4	1816	1323	2429	1602	1444	1196	1244	1784
Fermt3	256	0	233	38	151	308	228	73
Stip1	3663	3431	4678	2792	2354	3509	2063	3458
Rcor2	0	0	12	0	20	22	39	29
Mark2	1198	324	561	790	529	996	923	750
Spindoc	116	342	42	64	104	175	284	248
Lgals12	0	0	0	0	0	2	3	0
Plaat5	0	0	0	0	0	0	0	0
Smc3	1344	1750	1448	1450	1786	2190	1719	1803
Pdcd4	2400	937	2854	1879	1523	1489	1462	1935
Shoc2	1649	795	1406	1267	1087	1061	1353	1198
Gpam	128	6	317	118	68	187	165	380
Tectb	16	0	52	0	119	23	61	0
Acsl5	1497	1000	1664	1533	1328	1754	2264	1988
Zdhhc6	1080	1354	833	1206	1321	1410	1055	1721
Vti1a	685	266	961	568	639	625	645	781
Tcf7l2	787	426	603	1021	868	1089	1196	1255
Hhex	9	77	107	67	36	29	91	134
Cyp26a1	0	0	7	1	0	0	0	4
Cep55	0	461	0	0	124	86	71	98
Rbp4	497	2175	485	546	263	172	232	299
Eif3a	4005	2735	5523	5249	4558	5602	3678	6180
Pde6c	0	0	0	0	0	0	0	0
Fam45a	1215	881	806	638	316	495	589	682
Prdx3	2880	2911	3002	2949	1822	1613	1811	1634
Plce1	47	800	457	398	499	435	376	796
Noc3l	261	265	283	321	82	277	214	326
Hells	3	134	41	65	105	214	62	139
Cyp2c55	0	0	0	0	0	0	0	0
Cyp2c39	0	0	0	0	0	0	0	0
Cyp2c40	0	0	0	0	0	0	0	0
Sorbs1	179	217	482	204	4	38	63	18
Aldh18a1	203	841	315	261	70	344	239	504
Tctn3	58	29	59	1	0	1	120	0
Ccnj	1	13	0	17	12	36	31	9
Tll2	0	0	0	0	0	0	4	25
Dntt	0	0	0	0	0	0	0	0
Tm9sf3	1921	2471	1679	2391	1981	1684	2080	2222
Pik3ap1	0	0	41	37	0	0	2	0
Lcor	463	254	356	533	300	387	456	449
Slit1	0	0	0	0	0	28	1	26
Smndc1	789	544	817	637	659	782	606	870
Mxi1	997	460	694	993	553	418	357	728
Add3	2611	3314	2931	2031	3252	4605	3200	3873
Xpnpep1	592	1513	1944	732	1434	1866	2561	2450
Trim8	572	774	366	235	344	445	357	376
Arl3	455	878	430	202	265	317	433	360
Sfxn2	13	136	121	76	89	101	102	172
Maoa	472	768	377	321	440	475	483	325
Efhc2	0	0	0	0	0	0	0	0
Fundc1	1702	1263	1483	1295	1328	896	938	1178
Nt5c2	1399	614	1903	893	1943	2403	1948	2706
Dusp21	0	0	0	0	0	0	0	0
Msr1	0	0	0	0	0	0	0	0
Pdcd11	124	377	211	58	106	297	345	202
Taf5	120	86	261	13	2	151	114	140
Pcgf6	341	103	543	366	459	533	492	853
Samt4	0	0	0	0	0	0	0	0
Nr0b1	0	0	0	0	0	0	0	0
5430427O19Rik	0	0	0	0	0	28	0	0
Gk	534	38	153	246	222	275	297	235
Slk	1769	932	2005	1732	1342	2123	2590	2264
Col17a1	811	478	817	297	561	591	584	612
Sfr1	6805	6143	5710	4748	6675	6440	5593	6743
Gsto1	42607	17119	35826	31456	16515	17545	14935	18449
Gsto2	1735	244	792	592	400	559	573	858
Habp2	0	0	0	10	0	8	0	0
Casp7	45	256	198	120	156	186	77	245
Dclre1a	57	314	150	84	340	107	163	93
Nhlrc2	353	618	380	303	235	431	402	262
Tdrd1	0	1	0	0	0	52	1	1
Vwa2	0	0	0	0	0	3	0	0
Afap1l2	204	547	186	132	40	159	54	174
Ablim1	377	401	428	339	378	474	442	672
Trub1	273	118	574	369	377	313	323	624
Gfra1	213	16	166	67	118	114	375	658
Ccdc172	0	0	0	0	0	1	0	0
Pnliprp2	0	0	0	0	94	0	0	0
Hspa12a	57	119	135	7	12	142	70	130
Slc18a2	127	175	113	98	84	89	128	142
3110040N11Rik	779	1069	650	633	802	598	695	592
Btbd1	949	647	1264	791	462	665	771	995
Hdgfl3	1	197	67	63	1	0	5	5
Bnc1	85	472	28	0	0	0	0	2
Gcgr	71	38	254	7	95	363	260	275
Bhlhe22	0	6	0	0	0	0	0	0
Ppp1r27	0	1	0	11	0	0	0	8
P4hb	8512	22659	8760	8245	9733	12065	10157	11494
Arhgdia	3564	5045	3832	3379	3345	4457	2384	5079
Ints4	848	319	1148	1388	966	912	864	992
Alyref	456	288	599	320	442	474	332	401
Anapc11	1958	3613	1543	1218	1546	1668	1530	1709
Pcyt2	998	752	1627	1488	330	871	1183	1103
Sirt7	912	748	1488	1061	728	885	762	1338
Tollip	457	1220	827	425	398	745	877	654
Pycr1	0	531	1	10	44	0	25	7
Myadml2	0	0	0	0	0	0	0	0
Aspscr1	680	445	761	299	476	736	797	878
Cenpx	1064	962	818	611	667	709	784	922
Lrrc45	361	544	263	386	279	395	691	655
Mob2	1868	1060	1276	1552	1248	1686	1404	2634
Cbr2	27075	10015	27095	21868	9109	13278	10657	11903
Maged1	3083	7960	4325	4102	3025	6492	6847	5795
Fasn	1821	1241	1891	1386	454	763	339	512
Arhgap19	1	142	0	0	12	43	65	63
Dus1l	436	239	736	422	393	665	379	542
Gps1	2740	3179	3294	2877	3162	4027	2770	4023
Zdhhc16	59	332	102	65	197	163	56	279
Rfng	196	828	424	484	232	258	195	413
Mms19	923	1133	439	297	636	721	1360	898
Slc16a3	134	289	75	46	30	52	5	67
Csnk1d	898	1180	1190	1436	851	1228	1438	1588
Cd7	0	0	0	0	0	0	0	0
Sectm1a	0	0	0	0	0	5	0	0
Ogfod3	596	749	331	475	206	422	302	429
Rab40b	93	145	77	20	26	30	23	54
Ubtd1	703	288	543	278	266	352	403	366
Ankrd2	0	0	0	0	0	0	6	0
Wdr45b	1875	2304	1858	1879	2550	2565	2487	2812
Fn3k	0	0	51	43	34	0	0	32
Hoga1	0	0	3	0	5	8	8	0
Pi4k2a	692	285	182	125	122	523	213	307
R3hcc1l	768	353	518	242	227	472	548	563
Loxl4	0	0	42	0	0	0	1	0
Hps1	253	139	332	199	28	290	416	254
Cnnm1	0	0	21	25	24	0	0	43
Got1	5743	3028	6558	4577	2331	3385	1966	3404
Entpd7	100	279	172	136	70	45	32	103
Cutc	473	129	525	506	459	203	254	649
Abcc2	0	0	6	12	29	15	3	6
Dnmbp	715	1057	1202	1456	1244	1573	1308	1528
Cpn1	60	0	0	0	0	0	0	0
Cyp2c23	0	607	0	0	0	35	0	0
Erlin1	758	729	807	422	517	361	492	585
Chuk	685	826	1099	678	387	585	555	618
Cwf19l1	167	65	312	145	97	382	302	268
Scd3	0	1	0	0	1	0	21	1
Scd2	2577	1977	2414	1932	1212	781	1532	1259
Ndufb8	4429	4502	2994	2565	2493	3554	3139	3951
Sema4g	341	102	219	329	601	396	505	624
Mrpl43	1520	1533	2046	1304	1308	1520	1450	1934
Twnk	277	75	77	16	94	186	126	425
Sfxn3	356	1852	642	632	637	1175	980	863
Kazald1	147	648	84	26	103	120	153	334
Tlx1	0	0	0	0	0	0	0	0
Lbx1	0	0	0	0	0	0	0	0
Btrc	595	1311	940	1060	1488	1536	1122	1635
Poll	0	0	39	0	5	138	105	27
Fgf8	0	0	0	0	0	0	0	0
Oga	1653	916	1469	1369	1282	1139	1319	1871
Kcnip2	0	0	0	0	0	39	0	2
Ldb1	479	290	194	324	269	561	815	456
Gbf1	268	663	390	489	367	453	370	438
Nfkb2	291	334	184	259	124	184	289	143
Fbxl15	94	17	46	46	112	99	58	90
Mfsd13a	5	0	59	128	1	134	35	69
Actr1a	1673	1155	2052	1055	874	1123	1349	1702
Pitx3	0	0	0	0	0	0	0	0
Sufu	349	184	342	212	103	250	148	150
Hexa	1396	3399	1393	1075	698	959	1214	780
Arih1	862	647	836	988	836	975	1236	1388
Bbs4	399	174	430	536	323	366	297	380
Adpgk	146	288	452	370	146	312	169	187
Parp6	326	638	578	295	167	619	397	553
Limd1	663	971	536	382	678	831	559	971
Sacm1l	1072	1003	1431	1216	1006	785	817	1059
Fyco1	561	719	1089	424	598	595	1104	621
Slc6a20b	0	0	0	0	0	0	0	1
Lztfl1	354	413	532	423	473	523	474	514
Tbl1x	1510	1479	1218	1009	973	966	1068	1606
Zfhx4	39	80	0	0	0	0	0	0
Ribc1	128	0	0	9	173	0	145	57
Hsd17b10	4500	4679	4000	3187	4115	4031	3585	5122
Huwe1	1621	1560	2091	2235	1989	1837	2075	2646
Fam120c	40	6	9	112	20	34	23	115
Tsr2	425	302	488	365	427	411	447	409
Fgd1	1	63	9	0	28	73	0	31
Gnl3l	190	220	285	130	194	110	294	318
Maged2	611	3880	1105	675	1294	1670	1214	1812
Apex2	3	16	97	187	231	293	97	334
Alas2	13	0	0	0	0	0	4	9
Pfkfb1	48	111	24	2	90	24	115	38
Tro	0	53	0	0	0	0	0	0
Abhd6	2693	1417	2214	2748	947	1262	1294	1610
Flnb	1980	3436	2630	3400	2144	3571	3001	3757
Dnase1l3	33	4	39	12	1	29	7	8
Polr3a	261	231	216	220	302	298	325	495
Sat1	45433	22863	39945	32921	42333	34388	39067	47522
Acot9	2689	3021	1895	1263	1800	1672	1258	1913
4933436I01Rik	0	0	0	0	0	0	0	0
Prdx4	658	3779	589	620	958	1030	792	846
Rps24	13053	10018	9128	7486	12553	12909	10802	14225
Ptprj	12	98	4	3	72	118	40	196
Banp	240	622	274	225	160	227	463	471
Car5a	2	0	0	2	0	5	5	4
Jph3	0	11	24	1	0	0	0	40
Itgb8	119	940	13	14	0	0	2	0
Sp4	62	94	123	119	70	40	32	112
Atp10a	39	205	155	41	208	151	179	340
Ube3a	1165	463	1056	1369	544	735	1060	852
Padi3	38	14	50	38	58	14	2	10
Padi1	15	53	26	22	13	12	15	16
Padi4	481	317	790	525	6	177	30	48
Kdm5c	770	619	797	503	356	352	387	924
Gpr143	0	0	0	0	0	0	0	0
Sbds	4635	3558	4988	3648	3274	4679	3799	3342
Rabgef1	3207	1178	1913	1991	2325	2479	1847	2065
Mettl7b	0	0	40	0	0	0	0	3
Itga7	1	543	0	0	0	2	0	0
Rdh5	52	32	72	2	16	13	80	24
Cd63	15767	33246	11729	13206	13028	13592	12471	15592
Gdf11	1	74	0	0	0	11	14	16
Ormdl2	889	800	757	622	527	598	612	792
Dnajc14	305	447	169	292	99	313	242	414
Mmp19	0	337	0	0	0	0	1	0
Dgka	2272	980	2224	2248	2127	2237	2896	3891
Cdk2	111	266	238	362	336	608	479	536
Pmel	27	0	198	199	83	74	254	109
Rps26	20865	16210	13329	11979	17727	22167	17503	21631
Pa2g4	1991	1245	1694	1631	1498	1946	1293	2186
Esyt1	323	653	475	458	120	290	636	405
Smarcc2	444	880	853	713	570	580	684	917
Cdh9	0	0	0	0	118	0	76	0
Chmp6	864	929	1064	500	736	1120	609	1675
Baiap2	1754	422	1801	1467	2190	4372	2742	3399
Rnf41	464	571	275	134	511	295	422	356
Nabp2	908	592	778	477	512	636	687	689
Aatk	0	0	0	2	10	0	0	0
Tepsin	165	15	127	332	167	116	286	793
Fscn2	0	0	1	0	12	0	91	0
Cnpy2	4463	7470	3717	3428	3210	3544	3860	4212
Il23a	0	0	0	0	0	0	0	0
Faap100	166	450	238	206	175	409	329	341
Pde6g	2	6	4	4	0	1	0	1
Mip	0	0	0	0	0	0	0	0
Atp5b	21583	19998	26794	20746	23481	28553	20491	27326
Prim1	54	294	31	113	126	301	135	84
Hsd17b6	0	0	0	0	0	3	0	0
Tac2	0	0	0	0	0	0	0	0
Myo1a	0	0	0	0	0	0	0	8
Nab2	246	177	238	129	317	500	406	213
Shmt2	680	703	407	612	703	1029	949	1403
R3hdm2	184	291	354	347	185	258	164	377
Inhbc	0	0	0	0	0	0	0	0
Gli1	0	6	0	0	0	0	0	0
Ddit3	795	1160	524	985	807	912	730	837
Mbd6	497	75	321	136	249	297	502	447
Dctn2	4095	3112	4314	2975	2893	5021	3129	5016
Ttc4	877	626	1128	756	1427	1205	1201	1666
Pip4k2c	283	382	195	179	61	195	183	195
Bsnd	0	0	0	0	0	0	4	0
Katnal2	0	79	0	0	0	0	0	0
Hdhd2	1265	769	960	827	713	803	597	974
Agap2	0	0	0	2	0	1	22	0
Pias2	343	597	705	568	580	854	695	1221
St8sia5	0	0	14	0	0	82	36	97
Rnf165	0	0	0	2	13	0	1	0
Atp5a1	19149	12944	20296	17054	19453	25117	18492	20848
Pstpip2	34	0	50	19	0	1	0	0
Crisp1	0	0	0	0	0	0	0	0
Avil	0	9	0	7	33	62	26	39
Crisp3	0	0	0	0	0	0	0	0
Atp23	213	397	289	127	192	129	150	205
Usp33	919	818	895	935	780	927	565	1002
Clns1a	2781	2686	2781	1784	2596	3338	2807	3535
Paip1	460	125	265	335	295	173	221	284
Nnt	729	609	473	334	663	813	477	746
Cd163l1	0	0	0	0	0	0	0	0
Paox	432	264	372	347	629	729	770	917
Echs1	4887	4066	4113	3504	3503	3949	3639	4881
Fuom	903	545	977	825	1073	805	906	1005
Prap1	38	19	26	26	25	73	50	42
Caly	0	23	0	5	0	13	3	0
Msx3	0	0	0	0	0	0	0	0
Zfp511	1150	803	1311	685	1062	878	823	803
Adam8	131	41	147	0	11	0	1	15
Tubgcp2	1646	530	1199	600	557	401	863	788
Adgra1	0	0	0	0	0	2	0	0
Inpp5a	360	352	148	315	72	129	202	120
Dpysl4	0	40	0	0	0	0	0	0
Cyp2e1	16	63	17	29	2	14	13	11
Syce1	62	0	0	80	53	0	9	152
Urah	3879	2131	3118	3512	2007	2456	2097	2280
Odf3	0	0	0	0	2	0	0	0
Bet1l	542	1845	675	924	320	522	794	582
Ric8a	781	1587	1311	487	500	703	778	1193
Sirt3	296	299	294	190	394	231	210	108
Psmd13	1018	1264	952	1037	828	1107	842	1178
Cox8b	0	22	0	0	0	0	0	0
Ifitm5	0	54	23	0	0	35	0	6
Ifitm1	305	3958	17	8	34	54	56	69
Ifitm3	5056	28183	4538	3354	3192	3306	2961	3947
Sigirr	243	108	752	323	132	215	215	162
Ptdss2	88	261	186	171	297	119	439	553
Drd4	0	98	0	0	0	0	0	0
Cdhr5	0	112	0	0	0	0	12	0
Irf7	273	832	67	119	39	69	53	231
Hras	1219	1336	974	1033	949	924	955	1207
Lmntd2	19	1	95	67	87	24	208	42
Taldo1	7708	5543	6855	5806	5131	5496	4708	6072
Eps8l2	810	442	898	636	352	621	717	919
Tmem80	481	265	378	215	395	302	234	345
Pidd1	1	65	15	2	16	1	101	23
Rplp2	17663	14738	11872	9685	11405	16020	12469	13524
Pnpla2	2052	1202	3094	2302	1561	2662	1585	2694
Cd151	1636	3320	1298	1072	1104	1201	1346	1605
Tspan4	576	2388	672	339	54	150	103	393
Chid1	910	1448	1233	601	504	896	736	655
Muc2	0	0	1	54	0	0	14	0
Tktl2	0	0	0	0	0	0	0	0
Tmem192	1251	1117	1260	817	788	765	930	1585
Apool	1327	744	913	582	1156	833	1153	1125
Satl1	0	0	0	0	0	0	0	0
2010106E10Rik	0	0	0	0	0	0	0	0
Zfp711	125	63	199	182	240	117	70	53
Chm	579	354	728	360	447	514	289	562
Crcp	718	877	1096	869	1142	519	677	1368
Asl	843	1238	1591	598	1174	1322	1361	1236
Gusb	451	1148	1192	712	1108	1667	940	887
Phkg1	0	0	0	3	0	0	22	0
Sumf2	195	583	187	225	265	166	128	311
Tm9sf2	5130	4321	5469	6253	4087	4231	3463	5282
Clybl	2605	1832	1702	2144	1606	1354	1238	2042
Fgf14	0	0	0	0	0	0	0	22
Farp1	322	655	427	669	639	567	884	1199
Slc15a1	0	0	0	0	0	0	1	2
Dock9	698	244	1188	1360	680	845	705	1214
Tnrc6c	240	277	371	223	322	155	272	494
Tmc6	586	1091	979	414	157	558	560	551
6030468B19Rik	0	0	1	9	0	0	0	0
Tk1	117	553	54	5	41	203	261	227
Cant1	231	365	179	237	241	435	346	314
Rbfox3	0	0	0	0	0	0	0	0
Cbx2	0	0	44	53	0	0	8	31
Cbx8	30	5	122	124	53	79	148	139
Gaa	856	1153	958	611	658	966	770	795
Eif4a3	5391	4276	4765	5089	5637	6431	4738	5865
Nptx1	0	0	0	0	0	0	0	0
Rptor	96	195	94	294	205	340	211	281
Pde8a	157	473	492	261	71	17	1	0
Cpeb1	0	74	8	0	0	0	9	0
Nat1	0	0	0	0	43	0	0	0
Tma16	148	428	320	379	358	316	455	367
Dach2	154	35	97	81	1	157	110	283
Klhl4	0	0	0	0	0	1	0	0
Zfp202	14	193	116	177	118	1	32	41
Copg2	1021	672	1502	366	1231	1724	829	1088
Podxl	0	270	104	0	0	0	0	155
Mkln1	2695	1850	3018	3684	3276	3171	2911	3295
Map3k7cl	0	0	0	40	0	0	0	0
Bach1	55	200	29	185	14	21	177	79
Cct8	9357	4837	8002	7015	7403	8154	6298	8614
Usp16	944	962	1943	1371	1195	1079	946	1436
Phf6	487	758	922	625	804	674	713	779
Hprt	7618	3940	5407	6072	5354	4320	4525	6308
Ccdc51	1040	341	967	608	282	309	296	553
Atrip	89	228	136	202	90	161	223	425
Shisa5	3241	3692	2375	2803	1939	2566	1913	1631
Pfkfb4	209	39	257	61	102	34	22	54
Col7a1	75	55	31	2	39	55	33	0
Uqcrc1	11589	11540	12881	10073	13724	16285	12665	14940
Tmem89	0	0	0	0	0	23	0	3
Arhgef9	128	183	163	77	158	287	217	143
Cnksr2	0	0	0	0	0	0	0	0
Rps6ka6	191	0	74	147	0	61	9	59
Tmem47	0	41	72	0	0	1	0	16
Alox5	0	0	0	18	4	0	0	1
8-Mar	202	698	592	231	134	192	305	640
Myo3a	0	0	0	8	0	0	0	0
Wdr73	661	304	430	340	196	239	657	516
Nmb	3	0	70	0	5	9	9	63
Sec11a	4277	7073	3905	2881	3814	3980	3107	4604
Slc28a1	0	0	0	0	0	0	3	0
A930017K11Rik	0	0	0	0	0	62	0	0
Pigq	551	234	325	331	424	391	502	398
Rab40c	639	166	302	355	298	693	717	672
Mettl26	2244	1739	1944	1543	1600	2362	1696	2023
Mcrip2	69	2	83	121	150	82	109	22
Rhot2	80	51	77	60	60	83	63	118
